,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
3058,signal,212.937,24.1665,136.597,1.33613,277.781,-2.22005,-1,11,1,337.724,0.330484,0.713753,191.477,0.236536,1,34.9751,1.02743,1,126.133,0.0851674,0.0,337.724,0.330484,0.713753,191.477,0.236536,1.17085,0.0567221,1
3059,signal,121.738,14.7802,109.067,0.91794,158.336,-2.79474,-1,11,1,486.04,0.529615,0.553531,164.944,0.40735,3,202.035,0.710395,1,202.035,0.710395,810.288,803.291,1.37937,-1.87373,269.822,1.0442,0.422476,0.0567221,1
3060,signal,134.3,89.907,139.209,0.78972,184.922,-2.0277,-1,11,1,332.39,1.06238,1.25635,165.678,0.336079,3,76.901,0.128033,2,76.901,0.128033,599.448,332.39,1.06238,1.25635,165.678,0.336079,1.27185,0.0567221,1
3061,signal,63.3591,23.5873,79.8304,-0.855433,110.864,-3.1159,-1,13,1,366.36,1.03234,0.0460059,193.562,0.375166,2,208.677,-0.0930364,2,208.677,-0.0930364,851.832,366.36,1.03234,0.0460059,193.562,0.375166,0.147085,0.0567221,1
3062,signal,217.83,27.8169,309.264,0.0141819,309.295,2.26701,1,11,1,366.986,-1.93204,-0.203035,153.467,0.53852,1,53.478,-0.880446,1,53.478,-0.880446,1073.54,647.944,-2.73539,-1.78035,227.427,1.39166,0.0,0.0567221,1
3063,signal,190.535,38.9191,95.0838,0.315164,99.8453,-2.75696,-1,11,1,307.113,-0.501134,0.888461,122.446,0.222763,1,60.581,0.499241,1,60.581,0.499241,491.212,307.113,-0.501134,0.888461,122.446,0.222763,1.17489,0.0567221,1
3064,signal,82.336,4.67308,109.915,-0.453234,121.399,-2.33111,1,11,1,458.736,-0.029337,0.846869,205.131,0.632884,1,273.11,-0.0170447,2,273.11,-0.0170447,891.963,797.429,-0.162763,-1.48806,281.262,1.1736,1.20199,0.0567221,1
3065,signal,174.408,35.7569,157.497,0.389591,169.602,-1.93668,-1,11,1,386.771,1.1131,1.16289,136.15,0.696262,1,46.647,0.118138,2,102.425,1.00266,625.797,386.771,1.1131,1.16289,136.15,0.696262,1.2826,0.0567221,1
3066,signal,142.712,46.4769,44.358,0.87645,62.5141,-2.04159,-1,11,1,439.408,-1.0552,0.62182,166.406,0.617266,1,112.273,1.05075,2,336.379,-0.909362,848.575,439.408,-1.0552,0.62182,166.406,0.617266,0.364988,0.0567221,1
3067,signal,69.4119,14.2392,180.826,1.20628,329.134,1.01148,-1,11,1,440.407,0.988185,-2.41798,181.874,0.27201,1,149.415,1.45115,2,149.415,1.45115,815.041,790.417,2.33437,-1.62022,285.925,0.806165,0.887305,0.0567221,1
3068,signal,155.009,63.3834,32.5831,-1.85758,106.942,2.31871,1,13,1,447.809,-1.46152,-0.18952,230.244,0.423831,1,262.791,-1.14735,1,89.2322,-0.936587,0.0,447.809,-1.46152,-0.18952,230.244,0.423831,0.42564,0.0567221,1
3069,signal,85.1953,69.9837,131.088,-0.0749386,131.457,-2.7106,-1,11,1,418.969,-1.19705,-0.34404,171.533,0.465585,1,244.299,0.635681,1,140.318,-1.3095,0.0,418.969,-1.19705,-0.34404,171.533,0.465585,0.430668,0.0567221,1
3070,signal,67.5894,68.4837,204.145,1.42669,449.629,-2.04697,1,13,1,355.305,0.342061,0.926497,106.936,0.503267,1,138.851,2.18236,1,138.851,2.18236,925.781,355.305,0.342061,0.926497,106.936,0.503267,1.2799,0.0567221,1
3071,signal,124.595,40.803,148.683,-0.985756,226.964,0.362216,-1,11,1,359.463,-1.95915,-2.94832,160.95,0.459614,2,109.759,0.141096,3,184.736,-2.16847,847.292,359.463,-1.95915,-2.94832,160.95,0.459614,0.396261,0.0567221,1
3072,signal,113.302,24.1592,142.37,-1.34578,291.968,0.682838,1,11,1,346.378,-0.295208,-2.59623,134.747,0.496771,1,134.239,-1.33623,2,134.239,-1.33623,734.328,630.38,-1.67227,-2.19672,213.936,1.10966,0.408164,0.0567221,1
3073,signal,200.408,114.876,226.809,-0.879433,320.317,1.16655,1,13,1,443.919,-0.338498,-1.97126,176.975,0.295837,1,100.131,-1.07069,1,78.1619,0.0942185,0.0,443.919,-0.338498,-1.97126,176.975,0.295837,1.23403,0.0567221,1
3074,signal,207.248,91.2755,143.232,-0.948703,212.671,3.10162,-1,11,1,405.86,-0.0971363,0.372414,173.791,0.418867,1,95.767,-1.02973,2,263.265,-0.206852,0.0,405.86,-0.0971363,0.372414,173.791,0.418867,1.26447,0.0567221,1
3075,signal,139.743,87.1617,262.734,0.710225,331.83,2.15161,1,11,1,444.722,0.0925739,-0.767262,139.47,0.320652,1,32.7805,1.93066,2,394.743,0.108661,827.062,444.722,0.0925739,-0.767262,139.47,0.320652,0.385048,0.0567221,1
